medication_id,location_id,risk_score,risk_level,predicted_stockout_date,days_to_stockout,primary_risk_factors,contributing_factors,mitigating_factors,confidence,recommended_review
MED011,LOC003,49.9,MEDIUM,2026-09-15,15.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED011,LOC004,18.5,LOW,2026-09-24,24.6,None,High-criticality life-saving clinical medication,"Confirmed inbound PO (80 units) arriving in 2d from reliable vendor (95%); Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (80 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED011,LOC005,56.6,HIGH,2026-09-13,13.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Rebalance regional network: initiate lateral transfer of 128 units from Central Academic Medical Center immediately.
MED011,LOC006,39.4,MEDIUM,2026-09-15,15.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED011,LOC007,40.4,MEDIUM,2026-09-15,15.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC001,39.2,MEDIUM,2026-09-24,24.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (4d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC002,49.8,MEDIUM,2026-09-12,12.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC003,11.0,LOW,2026-09-27,27.2,None,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED012,LOC004,39.8,MEDIUM,2026-09-18,18.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC005,39.7,MEDIUM,2026-09-19,19.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC006,39.2,MEDIUM,2026-09-20,20.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED012,LOC007,40.4,MEDIUM,2026-09-22,22.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1216 units, 23.8 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED013,LOC001,39.6,MEDIUM,2026-09-20,20.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED013,LOC002,15.0,LOW,2026-09-26,26.6,None,Moderate inventory buffer (9.1 days of supply); High-criticality life-saving clinical medication,Confirmed inbound PO (130 units) arriving in 1d from reliable vendor (93%); Alternate certified supplier available with normal lead time (5d),0.95,No escalation required; inbound shipment (130 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
