po_id,medication_id,location_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,status
PO-10024,MED017,LOC006,SUP001,2025-09-02,2025-09-07,2025-09-07,1330,1330,Delivered
PO-10025,MED054,LOC005,SUP015,2025-09-02,2025-09-04,2025-09-04,260,260,Delivered
PO-10026,MED072,LOC003,SUP006,2025-09-02,2025-09-09,2025-09-09,120,120,Delivered
PO-10027,MED002,LOC003,SUP010,2025-09-03,2025-09-10,2025-09-10,610,610,Delivered
PO-10028,MED033,LOC006,SUP004,2025-09-03,2025-09-09,2025-09-09,180,180,Delivered
PO-10029,MED040,LOC006,SUP004,2025-09-03,2025-09-08,2025-09-11,180,180,Delayed
PO-10030,MED053,LOC006,SUP010,2025-09-03,2025-09-09,2025-09-09,330,330,Delivered
PO-10031,MED069,LOC006,SUP004,2025-09-03,2025-09-10,2025-09-10,3310,3310,Delivered
PO-10032,MED006,LOC001,SUP001,2025-09-04,2025-09-09,2025-09-09,1250,1250,Delivered
PO-10033,MED008,LOC007,SUP001,2025-09-04,2025-09-09,2025-09-09,170,170,Delivered
PO-10034,MED013,LOC003,SUP007,2025-09-04,2025-09-09,2025-09-09,290,290,Delivered
PO-10035,MED034,LOC002,SUP013,2025-09-04,2025-09-10,2025-09-10,160,160,Delivered
PO-10036,MED053,LOC001,SUP010,2025-09-04,2025-09-10,2025-09-10,340,340,Delivered
PO-10037,MED067,LOC003,SUP012,2025-09-04,2025-09-10,2025-09-10,880,880,Delivered
PO-10038,MED003,LOC006,SUP001,2025-09-05,2025-09-08,2025-09-08,370,370,Delivered
PO-10039,MED004,LOC002,SUP001,2025-09-05,2025-09-09,2025-09-09,240,240,Delivered
PO-10040,MED040,LOC003,SUP004,2025-09-05,2025-09-10,2025-09-10,170,170,Delivered
PO-10041,MED061,LOC006,SUP004,2025-09-05,2025-09-12,2025-09-12,610,610,Delivered
PO-10042,MED010,LOC006,SUP007,2025-09-06,2025-09-10,2025-09-10,810,810,Delivered
PO-10043,MED015,LOC006,SUP011,2025-09-06,2025-09-09,2025-09-09,520,520,Delivered
PO-10044,MED020,LOC006,SUP004,2025-09-06,2025-09-11,2025-09-11,780,780,Delivered
PO-10045,MED037,LOC006,SUP015,2025-09-06,2025-09-10,2025-09-10,1950,1950,Delivered
PO-10046,MED044,LOC006,SUP010,2025-09-06,2025-09-11,2025-09-11,450,450,Delivered
PO-10047,MED057,LOC006,SUP008,2025-09-06,2025-09-10,2025-09-10,660,660,Delivered
PO-10048,MED004,LOC001,SUP001,2025-09-07,2025-09-11,2025-09-11,490,490,Delivered
PO-10049,MED025,LOC003,SUP002,2025-09-07,2025-09-12,2025-09-12,1790,1790,Delivered
PO-10050,MED026,LOC003,SUP002,2025-09-07,2025-09-13,2025-09-13,1850,1850,Delivered
PO-10051,MED027,LOC006,SUP009,2025-09-07,2025-09-12,2025-09-12,630,630,Delivered
PO-10052,MED057,LOC005,SUP008,2025-09-07,2025-09-11,2025-09-11,300,300,Delivered
PO-10053,MED059,LOC006,SUP015,2025-09-07,2025-09-10,2025-09-10,540,540,Delivered
PO-10054,MED064,LOC006,SUP005,2025-09-07,2025-09-12,2025-09-12,2030,2030,Delivered
PO-10055,MED067,LOC006,SUP012,2025-09-07,2025-09-13,2025-09-13,800,800,Delivered
PO-10056,MED071,LOC006,SUP014,2025-09-07,2025-09-13,2025-09-13,130,130,Delivered
PO-10057,MED074,LOC006,SUP006,2025-09-07,2025-09-15,2025-09-18,80,80,Delayed
PO-10058,MED001,LOC001,SUP001,2025-09-08,2025-09-13,2025-09-13,950,950,Delivered
PO-10059,MED002,LOC002,SUP010,2025-09-08,2025-09-15,2025-09-15,270,270,Delivered
PO-10060,MED005,LOC001,SUP001,2025-09-08,2025-09-13,2025-09-13,420,420,Delivered
PO-10061,MED018,LOC001,SUP001,2025-09-08,2025-09-11,2025-09-11,2290,2290,Delivered
PO-10062,MED022,LOC003,SUP002,2025-09-08,2025-09-12,2025-09-12,810,810,Delivered
PO-10063,MED032,LOC001,SUP009,2025-09-08,2025-09-11,2025-09-11,730,730,Delivered
PO-10064,MED044,LOC005,SUP010,2025-09-08,2025-09-13,2025-09-13,200,200,Delivered
PO-10065,MED045,LOC006,SUP004,2025-09-08,2025-09-13,2025-09-13,540,540,Delivered
PO-10066,MED047,LOC006,SUP015,2025-09-08,2025-09-11,2025-09-11,530,530,Delivered
PO-10067,MED050,LOC006,SUP005,2025-09-08,2025-09-12,2025-09-12,2290,2290,Delivered
PO-10068,MED052,LOC006,SUP015,2025-09-08,2025-09-11,2025-09-11,330,330,Delivered
PO-10069,MED056,LOC002,SUP005,2025-09-08,2025-09-13,2025-09-13,370,370,Delivered
PO-10070,MED058,LOC004,SUP008,2025-09-08,2025-09-13,2025-09-13,280,280,Delivered
PO-10071,MED058,LOC006,SUP008,2025-09-08,2025-09-13,2025-09-14,630,630,Delayed
PO-10072,MED069,LOC002,SUP004,2025-09-08,2025-09-15,2025-09-15,1380,1380,Delivered
PO-10073,MED072,LOC001,SUP006,2025-09-08,2025-09-15,2025-09-18,70,70,Delayed
PO-10074,MED072,LOC006,SUP006,2025-09-08,2025-09-15,2025-09-15,60,60,Delivered
PO-10075,MED074,LOC002,SUP006,2025-09-08,2025-09-16,2025-09-16,50,50,Delivered
PO-10076,MED005,LOC003,SUP001,2025-09-09,2025-09-14,2025-09-14,290,290,Delivered
PO-10077,MED005,LOC005,SUP001,2025-09-09,2025-09-14,2025-09-14,120,120,Delivered
PO-10078,MED008,LOC001,SUP001,2025-09-09,2025-09-14,2025-09-14,620,620,Delivered
PO-10079,MED008,LOC006,SUP001,2025-09-09,2025-09-14,2025-09-14,430,430,Delivered
PO-10080,MED010,LOC003,SUP007,2025-09-09,2025-09-13,2025-09-13,910,910,Delivered
PO-10081,MED012,LOC001,SUP007,2025-09-09,2025-09-13,2025-09-13,880,880,Delivered
PO-10082,MED014,LOC006,SUP007,2025-09-09,2025-09-12,2025-09-12,370,370,Delivered
PO-10083,MED016,LOC006,SUP001,2025-09-09,2025-09-13,2025-09-13,1860,1860,Delivered
PO-10084,MED024,LOC006,SUP009,2025-09-09,2025-09-14,2025-09-14,1360,1360,Delivered
PO-10085,MED025,LOC001,SUP002,2025-09-09,2025-09-14,2025-09-14,2330,2330,Delivered
PO-10086,MED027,LOC005,SUP009,2025-09-09,2025-09-14,2025-09-14,300,300,Delivered
PO-10087,MED030,LOC001,SUP004,2025-09-09,2025-09-14,2025-09-14,270,270,Delivered
PO-10088,MED030,LOC003,SUP004,2025-09-09,2025-09-14,2025-09-14,190,190,Delivered
PO-10089,MED031,LOC006,SUP015,2025-09-09,2025-09-12,2025-09-12,1090,1090,Delivered
PO-10090,MED033,LOC005,SUP004,2025-09-09,2025-09-15,2025-09-15,80,80,Delivered
PO-10091,MED034,LOC001,SUP013,2025-09-09,2025-09-15,2025-09-15,370,370,Delivered
PO-10092,MED037,LOC001,SUP015,2025-09-09,2025-09-13,2025-09-13,2740,2740,Delivered
PO-10093,MED039,LOC001,SUP006,2025-09-09,2025-09-17,2025-09-17,60,60,Delivered
PO-10094,MED053,LOC003,SUP010,2025-09-09,2025-09-15,2025-09-15,250,250,Delivered
PO-10095,MED055,LOC003,SUP015,2025-09-09,2025-09-12,2025-09-12,900,900,Delivered
PO-10096,MED055,LOC006,SUP015,2025-09-09,2025-09-12,2025-09-12,800,800,Delivered
PO-10097,MED056,LOC001,SUP005,2025-09-09,2025-09-14,2025-09-14,810,810,Delivered
PO-10098,MED058,LOC001,SUP008,2025-09-09,2025-09-14,2025-09-14,820,820,Delivered
PO-10099,MED060,LOC005,SUP015,2025-09-09,2025-09-11,2025-09-11,50,50,Delivered
PO-10100,MED060,LOC006,SUP015,2025-09-09,2025-09-11,2025-09-11,80,80,Delivered
PO-10101,MED062,LOC002,SUP004,2025-09-09,2025-09-14,2025-09-14,560,560,Delivered
PO-10102,MED063,LOC001,SUP004,2025-09-09,2025-09-16,2025-09-17,440,440,Delayed
PO-10103,MED064,LOC001,SUP005,2025-09-09,2025-09-14,2025-09-14,2750,2750,Delivered
PO-10104,MED065,LOC006,SUP015,2025-09-09,2025-09-11,2025-09-11,700,700,Delivered
PO-10105,MED071,LOC003,SUP014,2025-09-09,2025-09-15,2025-09-15,150,150,Delivered
PO-10106,MED075,LOC003,SUP004,2025-09-09,2025-09-15,2025-09-15,660,660,Delivered
PO-10107,MED002,LOC001,SUP010,2025-09-10,2025-09-17,2025-09-17,650,650,Delivered
PO-10108,MED007,LOC003,SUP011,2025-09-10,2025-09-13,2025-09-13,1200,1200,Delivered
PO-10109,MED011,LOC002,SUP011,2025-09-10,2025-09-15,2025-09-15,190,190,Delivered
PO-10110,MED012,LOC006,SUP007,2025-09-10,2025-09-14,2025-09-14,520,520,Delivered
PO-10111,MED013,LOC006,SUP007,2025-09-10,2025-09-15,2025-09-15,240,240,Delivered
PO-10112,MED015,LOC002,SUP011,2025-09-10,2025-09-13,2025-09-13,270,270,Delivered
PO-10113,MED017,LOC001,SUP001,2025-09-10,2025-09-15,2025-09-15,1520,1520,Delivered
PO-10114,MED018,LOC002,SUP001,2025-09-10,2025-09-13,2025-09-13,980,980,Delivered
PO-10115,MED019,LOC001,SUP015,2025-09-10,2025-09-13,2025-09-13,1210,1210,Delivered
PO-10116,MED020,LOC005,SUP004,2025-09-10,2025-09-15,2025-09-15,320,320,Delivered
PO-10117,MED021,LOC003,SUP002,2025-09-10,2025-09-14,2025-09-14,1430,1430,Delivered
PO-10118,MED022,LOC001,SUP002,2025-09-10,2025-09-14,2025-09-14,990,990,Delivered
PO-10119,MED023,LOC001,SUP002,2025-09-10,2025-09-14,2025-09-14,1400,1400,Delivered
PO-10120,MED023,LOC003,SUP002,2025-09-10,2025-09-14,2025-09-14,1050,1050,Delivered
PO-10121,MED025,LOC002,SUP002,2025-09-10,2025-09-15,2025-09-15,910,910,Delivered
PO-10122,MED026,LOC001,SUP002,2025-09-10,2025-09-16,2025-09-16,2370,2370,Delivered
PO-10123,MED027,LOC001,SUP009,2025-09-10,2025-09-15,2025-09-15,860,860,Delivered
PO-10124,MED028,LOC001,SUP002,2025-09-10,2025-09-15,2025-09-15,730,730,Delivered
PO-10125,MED029,LOC001,SUP015,2025-09-10,2025-09-13,2025-09-13,350,350,Delivered
PO-10126,MED031,LOC001,SUP015,2025-09-10,2025-09-13,2025-09-13,1580,1580,Delivered
PO-10127,MED033,LOC001,SUP004,2025-09-10,2025-09-16,2025-09-16,200,200,Delivered
PO-10128,MED035,LOC005,SUP015,2025-09-10,2025-09-12,2025-09-12,110,110,Delivered
PO-10129,MED036,LOC001,SUP003,2025-09-10,2025-09-12,2025-09-12,2380,2380,Delivered
PO-10130,MED036,LOC006,SUP003,2025-09-10,2025-09-12,2025-09-12,1680,1680,Delivered
PO-10131,MED043,LOC006,SUP003,2025-09-10,2025-09-12,2025-09-12,220,220,Delivered
PO-10132,MED045,LOC001,SUP004,2025-09-10,2025-09-15,2025-09-15,770,770,Delivered
PO-10133,MED046,LOC006,SUP015,2025-09-10,2025-09-14,2025-09-14,830,830,Delivered
PO-10134,MED049,LOC003,SUP015,2025-09-10,2025-09-13,2025-09-13,2060,2060,Delivered
PO-10135,MED049,LOC006,SUP015,2025-09-10,2025-09-13,2025-09-13,1770,1770,Delivered
PO-10136,MED050,LOC003,SUP005,2025-09-10,2025-09-14,2025-09-14,2510,2510,Delivered
PO-10137,MED055,LOC002,SUP015,2025-09-10,2025-09-13,2025-09-13,480,480,Delivered
PO-10138,MED063,LOC002,SUP004,2025-09-10,2025-09-17,2025-09-18,200,200,Delayed
PO-10139,MED064,LOC002,SUP005,2025-09-10,2025-09-15,2025-09-15,1060,1060,Delivered
PO-10140,MED066,LOC001,SUP004,2025-09-10,2025-09-16,2025-09-16,1220,1220,Delivered
PO-10141,MED066,LOC002,SUP004,2025-09-10,2025-09-16,2025-09-16,530,530,Delivered
PO-10142,MED066,LOC005,SUP004,2025-09-10,2025-09-16,2025-09-16,440,440,Delivered
PO-10143,MED067,LOC002,SUP012,2025-09-10,2025-09-16,2025-09-16,430,430,Delivered
PO-10144,MED067,LOC005,SUP012,2025-09-10,2025-09-16,2025-09-16,360,360,Delivered
PO-10145,MED069,LOC003,SUP004,2025-09-10,2025-09-17,2025-09-17,2520,2520,Delivered
PO-10146,MED069,LOC005,SUP004,2025-09-10,2025-09-17,2025-09-17,1040,1040,Delivered
PO-10147,MED070,LOC002,SUP004,2025-09-10,2025-09-16,2025-09-16,260,260,Delivered
PO-10148,MED070,LOC003,SUP004,2025-09-10,2025-09-16,2025-09-16,390,390,Delivered
PO-10149,MED070,LOC006,SUP004,2025-09-10,2025-09-16,2025-09-16,410,410,Delivered
PO-10150,MED072,LOC002,SUP006,2025-09-10,2025-09-17,2025-09-17,50,50,Delivered
PO-10151,MED074,LOC003,SUP006,2025-09-10,2025-09-18,2025-09-18,80,80,Delivered
PO-10152,MED075,LOC001,SUP004,2025-09-10,2025-09-16,2025-09-16,760,760,Delivered
PO-10153,MED008,LOC003,SUP001,2025-09-11,2025-09-16,2025-09-16,470,470,Delivered
PO-10154,MED017,LOC003,SUP001,2025-09-11,2025-09-16,2025-09-16,1190,1190,Delivered
PO-10155,MED018,LOC003,SUP001,2025-09-11,2025-09-14,2025-09-14,1790,1790,Delivered
PO-10156,MED018,LOC006,SUP001,2025-09-11,2025-09-14,2025-09-14,1620,1620,Delivered
PO-10157,MED020,LOC001,SUP004,2025-09-11,2025-09-16,2025-09-16,1010,1010,Delivered
PO-10158,MED020,LOC003,SUP004,2025-09-11,2025-09-16,2025-09-16,790,790,Delivered
PO-10159,MED021,LOC002,SUP002,2025-09-11,2025-09-15,2025-09-15,770,770,Delivered
PO-10160,MED024,LOC001,SUP009,2025-09-11,2025-09-16,2025-09-16,1950,1950,Delivered
PO-10161,MED024,LOC003,SUP009,2025-09-11,2025-09-16,2025-09-16,1470,1470,Delivered
PO-10162,MED025,LOC006,SUP002,2025-09-11,2025-09-16,2025-09-16,1620,1620,Delivered
PO-10163,MED027,LOC003,SUP009,2025-09-11,2025-09-16,2025-09-16,730,730,Delivered
PO-10164,MED029,LOC002,SUP015,2025-09-11,2025-09-14,2025-09-14,130,130,Delivered
PO-10165,MED034,LOC006,SUP013,2025-09-11,2025-09-17,2025-09-17,240,240,Delivered
PO-10166,MED035,LOC003,SUP015,2025-09-11,2025-09-13,2025-09-13,220,220,Delivered
PO-10167,MED038,LOC001,SUP015,2025-09-11,2025-09-13,2025-09-16,160,160,Delayed
PO-10168,MED044,LOC002,SUP010,2025-09-11,2025-09-16,2025-09-16,220,220,Delivered
PO-10169,MED051,LOC002,SUP015,2025-09-11,2025-09-13,2025-09-13,1080,1080,Delivered
PO-10170,MED053,LOC002,SUP010,2025-09-11,2025-09-17,2025-09-17,130,130,Delivered
PO-10171,MED055,LOC001,SUP015,2025-09-11,2025-09-14,2025-09-14,1090,1090,Delivered
PO-10172,MED056,LOC004,SUP005,2025-09-11,2025-09-16,2025-09-16,330,330,Delivered
PO-10173,MED056,LOC005,SUP005,2025-09-11,2025-09-16,2025-09-16,280,280,Delivered
PO-10174,MED057,LOC001,SUP008,2025-09-11,2025-09-15,2025-09-17,720,720,Delayed
PO-10175,MED057,LOC004,SUP008,2025-09-11,2025-09-15,2025-09-15,310,310,Delivered
PO-10176,MED059,LOC002,SUP015,2025-09-11,2025-09-14,2025-09-14,280,280,Delivered
PO-10177,MED061,LOC001,SUP004,2025-09-11,2025-09-18,2025-09-18,1010,1010,Delivered
PO-10178,MED063,LOC003,SUP004,2025-09-11,2025-09-18,2025-09-18,410,410,Delivered
PO-10179,MED063,LOC005,SUP004,2025-09-11,2025-09-18,2025-09-18,160,160,Delivered
PO-10180,MED064,LOC003,SUP005,2025-09-11,2025-09-16,2025-09-16,2100,2100,Delivered
PO-10181,MED066,LOC006,SUP004,2025-09-11,2025-09-17,2025-09-17,890,890,Delivered
PO-10182,MED069,LOC001,SUP004,2025-09-11,2025-09-18,2025-09-18,3570,3570,Delivered
PO-10183,MED075,LOC002,SUP004,2025-09-11,2025-09-17,2025-09-17,370,370,Delivered
PO-10184,MED075,LOC006,SUP004,2025-09-11,2025-09-17,2025-09-17,590,590,Delivered
PO-10185,MED001,LOC003,SUP001,2025-09-12,2025-09-17,2025-09-17,770,770,Delivered
PO-10186,MED003,LOC002,SUP001,2025-09-12,2025-09-15,2025-09-15,180,180,Delivered
PO-10187,MED009,LOC001,SUP007,2025-09-12,2025-09-16,2025-09-16,1720,1720,Delivered
PO-10188,MED009,LOC006,SUP007,2025-09-12,2025-09-16,2025-09-16,1260,1260,Delivered
PO-10189,MED014,LOC003,SUP007,2025-09-12,2025-09-15,2025-09-15,370,370,Delivered
PO-10190,MED017,LOC002,SUP001,2025-09-12,2025-09-17,2025-09-17,600,600,Delivered
PO-10191,MED017,LOC005,SUP001,2025-09-12,2025-09-17,2025-09-17,440,440,Delivered
PO-10192,MED019,LOC006,SUP015,2025-09-12,2025-09-15,2025-09-15,980,980,Delivered
PO-10193,MED022,LOC005,SUP002,2025-09-12,2025-09-16,2025-09-16,350,350,Delivered
PO-10194,MED026,LOC006,SUP002,2025-09-12,2025-09-18,2025-09-18,1750,1750,Delivered
PO-10195,MED028,LOC003,SUP002,2025-09-12,2025-09-17,2025-09-17,630,630,Delivered
PO-10196,MED029,LOC003,SUP015,2025-09-12,2025-09-15,2025-09-15,240,240,Delivered
PO-10197,MED029,LOC005,SUP015,2025-09-12,2025-09-15,2025-09-15,110,110,Delivered
PO-10198,MED034,LOC003,SUP013,2025-09-12,2025-09-18,2025-09-18,260,260,Delivered
PO-10199,MED035,LOC001,SUP015,2025-09-12,2025-09-14,2025-09-14,300,300,Delivered
PO-10200,MED035,LOC006,SUP015,2025-09-12,2025-09-14,2025-09-14,220,220,Delivered
PO-10201,MED036,LOC005,SUP003,2025-09-12,2025-09-14,2025-09-16,820,820,Delayed
PO-10202,MED042,LOC001,SUP003,2025-09-12,2025-09-14,2025-09-14,940,940,Delivered
PO-10203,MED045,LOC002,SUP004,2025-09-12,2025-09-17,2025-09-18,340,340,Delayed
PO-10204,MED045,LOC003,SUP004,2025-09-12,2025-09-17,2025-09-17,710,710,Delivered
PO-10205,MED045,LOC005,SUP004,2025-09-12,2025-09-17,2025-09-17,280,280,Delivered
PO-10206,MED047,LOC005,SUP015,2025-09-12,2025-09-15,2025-09-15,280,280,Delivered
PO-10207,MED050,LOC001,SUP005,2025-09-12,2025-09-16,2025-09-16,3090,3090,Delivered
PO-10208,MED051,LOC003,SUP015,2025-09-12,2025-09-14,2025-09-14,2050,2050,Delivered
PO-10209,MED054,LOC003,SUP015,2025-09-12,2025-09-14,2025-09-14,350,350,Delivered
PO-10210,MED056,LOC006,SUP005,2025-09-12,2025-09-17,2025-09-17,640,640,Delivered
PO-10211,MED059,LOC005,SUP015,2025-09-12,2025-09-15,2025-09-15,260,260,Delivered
PO-10212,MED061,LOC003,SUP004,2025-09-12,2025-09-19,2025-09-19,780,780,Delivered
PO-10213,MED061,LOC005,SUP004,2025-09-12,2025-09-19,2025-09-19,300,300,Delivered
PO-10214,MED062,LOC001,SUP004,2025-09-12,2025-09-17,2025-09-17,1430,1430,Delivered
PO-10215,MED062,LOC003,SUP004,2025-09-12,2025-09-17,2025-09-17,1160,1160,Delivered
PO-10216,MED068,LOC001,SUP004,2025-09-12,2025-09-18,2025-09-18,4490,4490,Delivered
PO-10217,MED068,LOC003,SUP004,2025-09-12,2025-09-18,2025-09-18,3630,3630,Delivered
PO-10218,MED070,LOC001,SUP004,2025-09-12,2025-09-18,2025-09-18,520,520,Delivered
PO-10219,MED070,LOC005,SUP004,2025-09-12,2025-09-18,2025-09-18,190,190,Delivered
PO-10220,MED073,LOC003,SUP004,2025-09-12,2025-09-18,2025-09-18,180,180,Delivered
PO-10221,MED073,LOC005,SUP004,2025-09-12,2025-09-18,2025-09-18,70,70,Delivered
PO-10222,MED004,LOC005,SUP001,2025-09-13,2025-09-17,2025-09-19,170,170,Delayed
PO-10223,MED007,LOC007,SUP011,2025-09-13,2025-09-16,2025-09-16,350,350,Delivered
PO-10224,MED011,LOC007,SUP011,2025-09-13,2025-09-18,2025-09-18,90,90,Delivered
PO-10225,MED013,LOC001,SUP007,2025-09-13,2025-09-18,2025-09-18,320,320,Delivered
PO-10226,MED016,LOC003,SUP001,2025-09-13,2025-09-17,2025-09-17,1980,1980,Delivered
PO-10227,MED018,LOC005,SUP001,2025-09-13,2025-09-16,2025-09-16,770,770,Delivered
PO-10228,MED021,LOC006,SUP002,2025-09-13,2025-09-17,2025-09-20,1240,1240,Delayed
PO-10229,MED022,LOC006,SUP002,2025-09-13,2025-09-17,2025-09-17,780,780,Delivered
PO-10230,MED023,LOC006,SUP002,2025-09-13,2025-09-17,2025-09-17,980,980,Delivered
PO-10231,MED024,LOC002,SUP009,2025-09-13,2025-09-18,2025-09-18,740,740,Delivered
PO-10232,MED026,LOC005,SUP002,2025-09-13,2025-09-19,2025-09-19,790,790,Delivered
PO-10233,MED032,LOC006,SUP009,2025-09-13,2025-09-16,2025-09-16,530,530,Delivered
PO-10234,MED033,LOC003,SUP004,2025-09-13,2025-09-19,2025-09-19,160,160,Delivered
PO-10235,MED037,LOC002,SUP015,2025-09-13,2025-09-17,2025-09-17,1020,1020,Delivered
PO-10236,MED037,LOC003,SUP015,2025-09-13,2025-09-17,2025-09-17,2010,2010,Delivered
PO-10237,MED041,LOC001,SUP015,2025-09-13,2025-09-15,2025-09-15,210,210,Delivered
PO-10238,MED044,LOC003,SUP010,2025-09-13,2025-09-18,2025-09-18,450,450,Delivered
PO-10239,MED046,LOC001,SUP015,2025-09-13,2025-09-17,2025-09-17,1140,1140,Delivered
PO-10240,MED048,LOC001,SUP015,2025-09-13,2025-09-15,2025-09-15,530,530,Delivered
PO-10241,MED048,LOC006,SUP015,2025-09-13,2025-09-15,2025-09-15,400,400,Delivered
PO-10242,MED051,LOC001,SUP015,2025-09-13,2025-09-15,2025-09-15,2450,2450,Delivered
PO-10243,MED054,LOC006,SUP015,2025-09-13,2025-09-15,2025-09-15,320,320,Delivered
PO-10244,MED059,LOC001,SUP015,2025-09-13,2025-09-16,2025-09-16,700,700,Delivered
PO-10245,MED061,LOC002,SUP004,2025-09-13,2025-09-20,2025-09-22,380,380,Delayed
PO-10246,MED062,LOC006,SUP004,2025-09-13,2025-09-18,2025-09-18,1080,1080,Delivered
PO-10247,MED065,LOC001,SUP015,2025-09-13,2025-09-15,2025-09-15,980,980,Delivered
PO-10248,MED066,LOC003,SUP004,2025-09-13,2025-09-19,2025-09-20,950,950,Delayed
PO-10249,MED067,LOC001,SUP012,2025-09-13,2025-09-19,2025-09-19,960,960,Delivered
PO-10250,MED068,LOC005,SUP004,2025-09-13,2025-09-19,2025-09-19,1440,1440,Delivered
PO-10251,MED001,LOC006,SUP001,2025-09-14,2025-09-19,2025-09-19,1020,1020,Delivered
PO-10252,MED003,LOC003,SUP001,2025-09-14,2025-09-17,2025-09-17,270,270,Delivered
PO-10253,MED004,LOC003,SUP001,2025-09-14,2025-09-18,2025-09-18,370,370,Delivered
PO-10254,MED005,LOC002,SUP001,2025-09-14,2025-09-19,2025-09-19,150,150,Delivered
PO-10255,MED007,LOC001,SUP011,2025-09-14,2025-09-17,2025-09-17,1570,1570,Delivered
PO-10256,MED007,LOC002,SUP011,2025-09-14,2025-09-17,2025-09-17,620,620,Delivered
PO-10257,MED011,LOC006,SUP011,2025-09-14,2025-09-19,2025-09-19,290,290,Delivered
PO-10258,MED013,LOC002,SUP007,2025-09-14,2025-09-19,2025-09-20,140,140,Delayed
PO-10259,MED016,LOC001,SUP001,2025-09-14,2025-09-18,2025-09-18,2510,2510,Delivered
PO-10260,MED019,LOC003,SUP015,2025-09-14,2025-09-17,2025-09-17,1020,1020,Delivered
PO-10261,MED028,LOC002,SUP002,2025-09-14,2025-09-19,2025-09-19,310,310,Delivered
PO-10262,MED028,LOC006,SUP002,2025-09-14,2025-09-19,2025-09-19,550,550,Delivered
PO-10263,MED036,LOC003,SUP003,2025-09-14,2025-09-16,2025-09-16,1810,1810,Delivered
PO-10264,MED038,LOC006,SUP015,2025-09-14,2025-09-16,2025-09-16,120,120,Delivered
PO-10265,MED040,LOC001,SUP004,2025-09-14,2025-09-19,2025-09-19,170,170,Delivered
PO-10266,MED041,LOC005,SUP015,2025-09-14,2025-09-16,2025-09-16,90,90,Delivered
PO-10267,MED041,LOC006,SUP015,2025-09-14,2025-09-16,2025-09-16,190,190,Delivered
PO-10268,MED053,LOC006,SUP010,2025-09-14,2025-09-20,2025-09-20,380,380,Delivered
PO-10269,MED071,LOC001,SUP014,2025-09-14,2025-09-20,2025-09-20,140,140,Delivered
PO-10270,MED071,LOC002,SUP014,2025-09-14,2025-09-20,2025-09-22,70,70,Delayed
PO-10271,MED075,LOC005,SUP004,2025-09-14,2025-09-20,2025-09-20,220,220,Delivered
PO-10272,MED001,LOC005,SUP001,2025-09-15,2025-09-20,2025-09-20,290,290,Delivered
PO-10273,MED006,LOC003,SUP001,2025-09-15,2025-09-20,2025-09-20,890,890,Delivered
PO-10274,MED007,LOC006,SUP011,2025-09-15,2025-09-18,2025-09-18,1110,1110,Delivered
