supplier_id,supplier_name,medication_id,standard_lead_time_days,current_lead_time_days,reliability_score
SUP005,Evergreen Therapeutics Supply,MED049,5,5,0.96
SUP005,Evergreen Therapeutics Supply,MED050,4,4,0.96
SUP015,OmniHealth Wholesalers,MED051,2,2,0.98
SUP015,OmniHealth Wholesalers,MED052,3,3,0.99
SUP005,Evergreen Therapeutics Supply,MED052,5,5,0.96
SUP010,Junction Pharma Depot,MED053,6,6,0.93
SUP014,Nexus BioLogistics,MED053,7,7,0.89
SUP015,OmniHealth Wholesalers,MED054,2,2,0.99
SUP002,Beacon Healthcare Supply,MED054,6,6,0.94
SUP015,OmniHealth Wholesalers,MED055,3,3,0.98
SUP012,Luminary Rx Group,MED055,6,6,0.95
SUP005,Evergreen Therapeutics Supply,MED056,5,5,0.96
SUP008,Horizon Medical Distribution,MED057,4,25,0.88
SUP005,Evergreen Therapeutics Supply,MED057,6,6,0.98
SUP008,Horizon Medical Distribution,MED058,5,5,0.9
SUP005,Evergreen Therapeutics Supply,MED058,4,4,0.94
SUP015,OmniHealth Wholesalers,MED059,3,3,0.97
SUP004,DirectPharma Solutions,MED059,7,7,0.94
SUP015,OmniHealth Wholesalers,MED060,2,2,0.98
SUP014,Nexus BioLogistics,MED060,7,7,0.92
SUP004,DirectPharma Solutions,MED061,7,7,0.93
SUP003,CarePoint Logistics,MED061,2,2,0.98
SUP004,DirectPharma Solutions,MED062,5,5,0.91
SUP003,CarePoint Logistics,MED062,3,3,0.98
SUP004,DirectPharma Solutions,MED063,7,7,0.92
SUP001,Apex Rx Distribution,MED063,3,3,0.98
SUP005,Evergreen Therapeutics Supply,MED064,5,5,0.96
SUP013,MedVantage Distribution,MED064,7,7,0.9
SUP015,OmniHealth Wholesalers,MED065,2,2,0.99
SUP008,Horizon Medical Distribution,MED065,4,4,0.91
SUP004,DirectPharma Solutions,MED066,6,6,0.91
SUP015,OmniHealth Wholesalers,MED066,2,2,0.98
SUP012,Luminary Rx Group,MED067,6,6,0.95
SUP006,Frontier Biologics,MED067,8,8,0.9
SUP004,DirectPharma Solutions,MED068,6,6,0.92
SUP004,DirectPharma Solutions,MED069,7,7,0.92
SUP004,DirectPharma Solutions,MED070,6,6,0.89
SUP014,Nexus BioLogistics,MED071,6,6,0.9
SUP006,Frontier Biologics,MED071,6,6,0.89
SUP006,Frontier Biologics,MED072,7,7,0.89
SUP003,CarePoint Logistics,MED072,3,3,0.98
SUP004,DirectPharma Solutions,MED073,6,6,0.92
SUP008,Horizon Medical Distribution,MED073,6,6,0.9
SUP006,Frontier Biologics,MED074,8,8,0.91
SUP015,OmniHealth Wholesalers,MED074,2,2,0.99
SUP004,DirectPharma Solutions,MED075,6,6,0.92
