medication_id,generic_name,strength,dosage_form,unit_of_measure,therapeutic_class,unit_cost,criticality
MED046,Metoprolol Tartrate IV,5 mg/5 mL,Injectable Solution,vial,Cardiovascular / Beta-Blocker,6.8,Medium
MED047,Diltiazem Hydrochloride,25 mg/5 mL,Injectable Solution,vial,Cardiovascular / Calcium Channel Blocker,12.4,Medium
MED048,Nitroglycerin IV,50 mg/250 mL,IV Infusion,bag,Cardiovascular / Vasodilator,31.0,High
MED049,Furosemide,40 mg/4 mL,Injectable Solution,vial,Diuretic,2.1,Medium
MED050,Albuterol Sulfate,2.5 mg/3 mL,Inhalation Solution,nebule,Bronchodilator,0.95,Medium
MED051,Ipratropium Bromide,0.5 mg/2.5 mL,Inhalation Solution,nebule,Bronchodilator / Anticholinergic,1.4,Medium
MED052,Naloxone Hydrochloride,0.4 mg/mL,Injectable Solution,vial,Antidote / Opioid Antagonist,16.0,High
MED053,Atropine Sulfate,1 mg/10 mL,Prefilled Syringe,syringe,Emergency / Resuscitation,14.5,High
MED054,Calcium Chloride,1000 mg/10 mL (10%),Prefilled Syringe,syringe,Electrolyte Solution / Resuscitation,18.0,High
MED055,Sodium Bicarbonate,8.4% (50 mEq/50 mL),Prefilled Syringe,syringe,Electrolyte Solution / Resuscitation,15.5,High
MED056,Insulin Regular Human,100 units/mL (10 mL),Injectable Solution,vial,Antidiabetic / Insulin,42.0,High
MED057,Insulin Glargine,100 units/mL (10 mL),Injectable Solution,vial,Antidiabetic / Insulin,98.0,High
MED058,Insulin Lispro,100 units/mL (10 mL),Injectable Solution,vial,Antidiabetic / Insulin,88.0,High
MED059,Dextrose 50%,25 g/50 mL,Prefilled Syringe,syringe,Hypoglycemia Emergency,12.8,High
MED060,Glucagon,1 mg,Lyophilized Powder with Diluent,kit,Hypoglycemia Emergency,175.0,High
MED061,Methylprednisolone Sodium Succinate,125 mg,Lyophilized Powder for Injection,vial,Corticosteroid,14.2,Medium
MED062,Dexamethasone Sodium Phosphate,4 mg/mL,Injectable Solution,vial,Corticosteroid,3.6,Medium
MED063,Hydrocortisone Sodium Succinate,100 mg,Lyophilized Powder for Injection,vial,Corticosteroid,8.9,Medium
MED064,Ondansetron Hydrochloride,4 mg/2 mL,Injectable Solution,vial,Antiemetic,2.4,Medium
MED065,Metoclopramide Hydrochloride,10 mg/2 mL,Injectable Solution,vial,Antiemetic / Prokinetic,3.1,Low
MED066,Potassium Chloride,20 mEq/100 mL,IV Infusion,bag,Electrolyte Solution,8.2,High
MED067,Magnesium Sulfate,2 g/50 mL,IV Infusion,bag,Electrolyte Solution,7.5,Medium
MED068,Sodium Chloride 0.9%,1000 mL,IV Infusion,bag,Intravenous Fluids,2.8,High
MED069,Lactated Ringer's Solution,1000 mL,IV Infusion,bag,Intravenous Fluids,3.2,High
MED070,Albumin Human 25%,12.5 g/50 mL,IV Infusion,vial,Plasma Volume Expander,65.0,High
MED071,Paclitaxel,100 mg/16.7 mL,Injectable Solution,vial,Oncology / Antineoplastic,120.0,Medium
MED072,Rituximab,500 mg/50 mL,Injectable Solution,vial,Biologics / Immunotherapy,890.0,Medium
MED073,Filgrastim (G-CSF),300 mcg/0.5 mL,Prefilled Syringe,syringe,Hematologic / Colony-Stimulating Factor,215.0,Medium
MED074,Immune Globulin IV (IVIG),10 g/100 mL (10%),IV Infusion,vial,Biologics / Immunotherapy,950.0,High
MED075,Oxytocin,10 units/mL,Injectable Solution,ampule,Obstetric / Labor Induction,6.5,High
