inventory_id,medication_id,location_id,snapshot_date,quantity_on_hand,reorder_level,average_daily_usage,days_of_supply
INV-20250901-MED013-LOC007,MED013,LOC007,2025-09-01,104,5,0.1,1040.0
INV-20250901-MED014-LOC001,MED014,LOC001,2025-09-01,699,297,27.0,25.9
INV-20250901-MED014-LOC002,MED014,LOC002,2025-09-01,315,165,15.0,21.0
INV-20250901-MED014-LOC003,MED014,LOC003,2025-09-01,468,297,27.0,17.3
INV-20250901-MED014-LOC004,MED014,LOC004,2025-09-01,245,22,2.0,122.5
INV-20250901-MED014-LOC005,MED014,LOC005,2025-09-01,215,99,9.0,23.9
INV-20250901-MED014-LOC006,MED014,LOC006,2025-09-01,374,242,22.0,17.0
INV-20250901-MED014-LOC007,MED014,LOC007,2025-09-01,153,11,1.0,153.0
INV-20250901-MED015-LOC001,MED015,LOC001,2025-09-01,821,451,41.0,20.0
INV-20250901-MED015-LOC002,MED015,LOC002,2025-09-01,304,198,18.0,16.9
INV-20250901-MED015-LOC003,MED015,LOC003,2025-09-01,721,385,35.0,20.6
INV-20250901-MED015-LOC004,MED015,LOC004,2025-09-01,229,132,12.0,19.1
INV-20250901-MED015-LOC005,MED015,LOC005,2025-09-01,342,165,15.0,22.8
INV-20250901-MED015-LOC006,MED015,LOC006,2025-09-01,429,363,33.0,13.0
INV-20250901-MED015-LOC007,MED015,LOC007,2025-09-01,194,99,9.0,21.6
INV-20250901-MED016-LOC001,MED016,LOC001,2025-09-01,3664,1968,164.0,22.3
INV-20250901-MED016-LOC002,MED016,LOC002,2025-09-01,1670,840,70.0,23.9
INV-20250901-MED016-LOC003,MED016,LOC003,2025-09-01,2904,1440,120.0,24.2
INV-20250901-MED016-LOC004,MED016,LOC004,2025-09-01,1142,336,28.0,40.8
INV-20250901-MED016-LOC005,MED016,LOC005,2025-09-01,1431,576,48.0,29.8
INV-20250901-MED016-LOC006,MED016,LOC006,2025-09-01,2054,1272,106.0,19.4
INV-20250901-MED016-LOC007,MED016,LOC007,2025-09-01,858,144,12.0,71.5
INV-20250901-MED017-LOC001,MED017,LOC001,2025-09-01,2156,1313,101.0,21.3
INV-20250901-MED017-LOC002,MED017,LOC002,2025-09-01,952,468,36.0,26.4
INV-20250901-MED017-LOC003,MED017,LOC003,2025-09-01,1762,1092,84.0,21.0
INV-20250901-MED017-LOC004,MED017,LOC004,2025-09-01,753,208,16.0,47.1
INV-20250901-MED017-LOC005,MED017,LOC005,2025-09-01,679,403,31.0,21.9
INV-20250901-MED017-LOC006,MED017,LOC006,2025-09-01,1218,1209,93.0,13.1
INV-20250901-MED017-LOC007,MED017,LOC007,2025-09-01,452,52,4.0,113.0
INV-20250901-MED018-LOC001,MED018,LOC001,2025-09-01,2149,1408,128.0,16.8
INV-20250901-MED018-LOC002,MED018,LOC002,2025-09-01,1116,594,54.0,20.7
INV-20250901-MED018-LOC003,MED018,LOC003,2025-09-01,2173,1045,95.0,22.9
INV-20250901-MED018-LOC004,MED018,LOC004,2025-09-01,923,242,22.0,42.0
INV-20250901-MED018-LOC005,MED018,LOC005,2025-09-01,937,627,57.0,16.4
INV-20250901-MED018-LOC006,MED018,LOC006,2025-09-01,1937,968,88.0,22.0
INV-20250901-MED018-LOC007,MED018,LOC007,2025-09-01,599,88,8.0,74.9
INV-20250901-MED019-LOC001,MED019,LOC001,2025-09-01,1376,836,76.0,18.1
INV-20250901-MED019-LOC002,MED019,LOC002,2025-09-01,833,407,37.0,22.5
INV-20250901-MED019-LOC003,MED019,LOC003,2025-09-01,1402,616,56.0,25.0
INV-20250901-MED019-LOC004,MED019,LOC004,2025-09-01,615,165,15.0,41.0
INV-20250901-MED019-LOC005,MED019,LOC005,2025-09-01,651,407,37.0,17.6
INV-20250901-MED019-LOC006,MED019,LOC006,2025-09-01,1151,704,64.0,18.0
INV-20250901-MED019-LOC007,MED019,LOC007,2025-09-01,327,33,3.0,109.0
INV-20250901-MED020-LOC001,MED020,LOC001,2025-09-01,1462,1066,82.0,17.8
INV-20250901-MED020-LOC002,MED020,LOC002,2025-09-01,727,351,27.0,26.9
INV-20250901-MED020-LOC003,MED020,LOC003,2025-09-01,1116,702,54.0,20.7
INV-20250901-MED020-LOC004,MED020,LOC004,2025-09-01,542,52,4.0,135.5
INV-20250901-MED020-LOC005,MED020,LOC005,2025-09-01,464,286,22.0,21.1
INV-20250901-MED020-LOC006,MED020,LOC006,2025-09-01,919,728,56.0,16.4
INV-20250901-MED020-LOC007,MED020,LOC007,2025-09-01,317,273,21.0,15.1
INV-20250901-MED021-LOC001,MED021,LOC001,2025-09-01,2753,1332,111.0,24.8
INV-20250901-MED021-LOC002,MED021,LOC002,2025-09-01,959,588,49.0,19.6
INV-20250901-MED021-LOC003,MED021,LOC003,2025-09-01,1721,1116,93.0,18.5
INV-20250901-MED021-LOC004,MED021,LOC004,2025-09-01,230,240,20.0,11.5
INV-20250901-MED021-LOC005,MED021,LOC005,2025-09-01,1069,444,37.0,28.9
INV-20250901-MED021-LOC006,MED021,LOC006,2025-09-01,1813,924,77.0,23.5
INV-20250901-MED021-LOC007,MED021,LOC007,2025-09-01,457,60,5.0,91.4
INV-20250901-MED022-LOC001,MED022,LOC001,2025-09-01,1258,744,62.0,20.3
INV-20250901-MED022-LOC002,MED022,LOC002,2025-09-01,724,312,26.0,27.8
INV-20250901-MED022-LOC003,MED022,LOC003,2025-09-01,945,540,45.0,21.0
INV-20250901-MED022-LOC004,MED022,LOC004,2025-09-01,547,180,15.0,36.5
INV-20250901-MED022-LOC005,MED022,LOC005,2025-09-01,489,252,21.0,23.3
INV-20250901-MED022-LOC006,MED022,LOC006,2025-09-01,1114,576,48.0,23.2
INV-20250901-MED022-LOC007,MED022,LOC007,2025-09-01,299,12,1.0,299.0
INV-20250901-MED023-LOC001,MED023,LOC001,2025-09-01,1748,984,82.0,21.3
INV-20250901-MED023-LOC002,MED023,LOC002,2025-09-01,859,444,37.0,23.2
INV-20250901-MED023-LOC003,MED023,LOC003,2025-09-01,1248,912,76.0,16.4
INV-20250901-MED023-LOC004,MED023,LOC004,2025-09-01,634,168,14.0,45.3
INV-20250901-MED023-LOC005,MED023,LOC005,2025-09-01,711,276,23.0,30.9
INV-20250901-MED023-LOC006,MED023,LOC006,2025-09-01,1329,756,63.0,21.1
INV-20250901-MED023-LOC007,MED023,LOC007,2025-09-01,492,48,4.0,123.0
INV-20250901-MED024-LOC001,MED024,LOC001,2025-09-01,2809,1911,147.0,19.1
INV-20250901-MED024-LOC002,MED024,LOC002,2025-09-01,1188,780,60.0,19.8
INV-20250901-MED024-LOC003,MED024,LOC003,2025-09-01,2132,1482,114.0,18.7
INV-20250901-MED024-LOC004,MED024,LOC004,2025-09-01,912,312,24.0,38.0
INV-20250901-MED024-LOC005,MED024,LOC005,2025-09-01,1185,507,39.0,30.4
INV-20250901-MED024-LOC006,MED024,LOC006,2025-09-01,1712,1144,88.0,19.5
INV-20250901-MED024-LOC007,MED024,LOC007,2025-09-01,541,143,11.0,49.2
INV-20250901-MED025-LOC001,MED025,LOC001,2025-09-01,2889,1768,136.0,21.2
INV-20250901-MED025-LOC002,MED025,LOC002,2025-09-01,1165,585,45.0,25.9
INV-20250901-MED025-LOC003,MED025,LOC003,2025-09-01,2150,1651,127.0,16.9
INV-20250901-MED025-LOC004,MED025,LOC004,2025-09-01,882,325,25.0,35.3
INV-20250901-MED025-LOC005,MED025,LOC005,2025-09-01,1306,637,49.0,26.7
INV-20250901-MED025-LOC006,MED025,LOC006,2025-09-01,2294,1274,98.0,23.4
INV-20250901-MED025-LOC007,MED025,LOC007,2025-09-01,760,130,10.0,76.0
INV-20250901-MED026-LOC001,MED026,LOC001,2025-09-01,3564,2156,154.0,23.1
INV-20250901-MED026-LOC002,MED026,LOC002,2025-09-01,1812,1022,73.0,24.8
INV-20250901-MED026-LOC003,MED026,LOC003,2025-09-01,2550,1974,141.0,18.1
INV-20250901-MED026-LOC004,MED026,LOC004,2025-09-01,1488,322,23.0,64.7
INV-20250901-MED026-LOC005,MED026,LOC005,2025-09-01,1432,826,59.0,24.3
INV-20250901-MED026-LOC006,MED026,LOC006,2025-09-01,2914,1512,108.0,27.0
INV-20250901-MED026-LOC007,MED026,LOC007,2025-09-01,736,154,11.0,66.9
INV-20250901-MED027-LOC001,MED027,LOC001,2025-09-01,1209,637,49.0,24.7
INV-20250901-MED027-LOC002,MED027,LOC002,2025-09-01,593,299,23.0,25.8
INV-20250901-MED027-LOC003,MED027,LOC003,2025-09-01,977,676,52.0,18.8
INV-20250901-MED027-LOC004,MED027,LOC004,2025-09-01,419,130,10.0,41.9
INV-20250901-MED027-LOC005,MED027,LOC005,2025-09-01,406,312,24.0,16.9
INV-20250901-MED027-LOC006,MED027,LOC006,2025-09-01,793,416,32.0,24.8
INV-20250901-MED027-LOC007,MED027,LOC007,2025-09-01,260,52,4.0,65.0
INV-20250901-MED028-LOC001,MED028,LOC001,2025-09-01,994,663,51.0,19.5
INV-20250901-MED028-LOC002,MED028,LOC002,2025-09-01,519,169,13.0,39.9
INV-20250901-MED028-LOC003,MED028,LOC003,2025-09-01,909,624,48.0,18.9
INV-20250901-MED028-LOC004,MED028,LOC004,2025-09-01,393,78,6.0,65.5
INV-20250901-MED028-LOC005,MED028,LOC005,2025-09-01,387,208,16.0,24.2
INV-20250901-MED028-LOC006,MED028,LOC006,2025-09-01,852,403,31.0,27.5
INV-20250901-MED028-LOC007,MED028,LOC007,2025-09-01,206,39,3.0,68.7
INV-20250901-MED029-LOC001,MED029,LOC001,2025-09-01,362,253,23.0,15.7
INV-20250901-MED029-LOC002,MED029,LOC002,2025-09-01,154,77,7.0,22.0
INV-20250901-MED029-LOC003,MED029,LOC003,2025-09-01,295,220,20.0,14.8
INV-20250901-MED029-LOC004,MED029,LOC004,2025-09-01,159,33,3.0,53.0
INV-20250901-MED029-LOC005,MED029,LOC005,2025-09-01,139,99,9.0,15.4
INV-20250901-MED029-LOC006,MED029,LOC006,2025-09-01,310,165,15.0,20.7
INV-20250901-MED029-LOC007,MED029,LOC007,2025-09-01,91,5,0.1,910.0
INV-20250901-MED030-LOC001,MED030,LOC001,2025-09-01,355,182,14.0,25.4
INV-20250901-MED030-LOC002,MED030,LOC002,2025-09-01,153,39,3.0,51.0
INV-20250901-MED030-LOC003,MED030,LOC003,2025-09-01,248,143,11.0,22.5
INV-20250901-MED030-LOC004,MED030,LOC004,2025-09-01,129,13,1.0,129.0
INV-20250901-MED030-LOC005,MED030,LOC005,2025-09-01,153,65,5.0,30.6
INV-20250901-MED030-LOC006,MED030,LOC006,2025-09-01,200,208,16.0,12.5
INV-20250901-MED030-LOC007,MED030,LOC007,2025-09-01,87,5,0.1,870.0
INV-20250901-MED031-LOC001,MED031,LOC001,2025-09-01,1638,1144,104.0,15.8
INV-20250901-MED031-LOC002,MED031,LOC002,2025-09-01,919,418,38.0,24.2
INV-20250901-MED031-LOC003,MED031,LOC003,2025-09-01,1661,671,61.0,27.2
INV-20250901-MED031-LOC004,MED031,LOC004,2025-09-01,627,176,16.0,39.2
INV-20250901-MED031-LOC005,MED031,LOC005,2025-09-01,783,330,30.0,26.1
INV-20250901-MED031-LOC006,MED031,LOC006,2025-09-01,1125,693,63.0,17.9
INV-20250901-MED031-LOC007,MED031,LOC007,2025-09-01,359,44,4.0,89.8
INV-20250901-MED032-LOC001,MED032,LOC001,2025-09-01,690,396,36.0,19.2
INV-20250901-MED032-LOC002,MED032,LOC002,2025-09-01,373,187,17.0,21.9
INV-20250901-MED032-LOC003,MED032,LOC003,2025-09-01,814,253,23.0,35.4
INV-20250901-MED032-LOC004,MED032,LOC004,2025-09-01,255,33,3.0,85.0
INV-20250901-MED032-LOC005,MED032,LOC005,2025-09-01,315,176,16.0,19.7
INV-20250901-MED032-LOC006,MED032,LOC006,2025-09-01,631,231,21.0,30.0
INV-20250901-MED032-LOC007,MED032,LOC007,2025-09-01,178,22,2.0,89.0
INV-20250901-MED033-LOC001,MED033,LOC001,2025-09-01,303,224,16.0,18.9
INV-20250901-MED033-LOC002,MED033,LOC002,2025-09-01,116,126,9.0,12.9
INV-20250901-MED033-LOC003,MED033,LOC003,2025-09-01,262,112,8.0,32.8
INV-20250901-MED033-LOC004,MED033,LOC004,2025-09-01,101,5,0.1,1010.0
INV-20250901-MED033-LOC005,MED033,LOC005,2025-09-01,110,56,4.0,27.5
INV-20250901-MED033-LOC006,MED033,LOC006,2025-09-01,161,154,11.0,14.6
INV-20250901-MED033-LOC007,MED033,LOC007,2025-09-01,62,42,3.0,20.7
INV-20250901-MED034-LOC001,MED034,LOC001,2025-09-01,578,224,16.0,36.1
INV-20250901-MED034-LOC002,MED034,LOC002,2025-09-01,189,126,9.0,21.0
INV-20250901-MED034-LOC003,MED034,LOC003,2025-09-01,448,294,21.0,21.3
INV-20250901-MED034-LOC004,MED034,LOC004,2025-09-01,174,14,1.0,174.0
INV-20250901-MED034-LOC005,MED034,LOC005,2025-09-01,212,126,9.0,23.6
INV-20250901-MED034-LOC006,MED034,LOC006,2025-09-01,369,126,9.0,41.0
INV-20250901-MED034-LOC007,MED034,LOC007,2025-09-01,115,28,2.0,57.5
INV-20250901-MED035-LOC001,MED035,LOC001,2025-09-01,316,140,14.0,22.6
INV-20250901-MED035-LOC002,MED035,LOC002,2025-09-01,157,110,11.0,14.3
INV-20250901-MED035-LOC003,MED035,LOC003,2025-09-01,235,130,13.0,18.1
INV-20250901-MED035-LOC004,MED035,LOC004,2025-09-01,120,10,1.0,120.0
INV-20250901-MED035-LOC005,MED035,LOC005,2025-09-01,106,60,6.0,17.7
INV-20250901-MED035-LOC006,MED035,LOC006,2025-09-01,242,100,10.0,24.2
INV-20250901-MED035-LOC007,MED035,LOC007,2025-09-01,83,10,1.0,83.0
INV-20250901-MED036-LOC001,MED036,LOC001,2025-09-01,2291,1290,129.0,17.8
INV-20250901-MED036-LOC002,MED036,LOC002,2025-09-01,1393,570,57.0,24.4
INV-20250901-MED036-LOC003,MED036,LOC003,2025-09-01,2222,1180,118.0,18.8
INV-20250901-MED036-LOC004,MED036,LOC004,2025-09-01,1062,250,25.0,42.5
INV-20250901-MED036-LOC005,MED036,LOC005,2025-09-01,890,450,45.0,19.8
INV-20250901-MED036-LOC006,MED036,LOC006,2025-09-01,1644,810,81.0,20.3
INV-20250901-MED036-LOC007,MED036,LOC007,2025-09-01,644,60,6.0,107.3
INV-20250901-MED037-LOC001,MED037,LOC001,2025-09-01,2960,2124,177.0,16.7
INV-20250901-MED037-LOC002,MED037,LOC002,2025-09-01,1471,948,79.0,18.6
INV-20250901-MED037-LOC003,MED037,LOC003,2025-09-01,2988,1632,136.0,22.0
INV-20250901-MED037-LOC004,MED037,LOC004,2025-09-01,1047,264,22.0,47.6
INV-20250901-MED037-LOC005,MED037,LOC005,2025-09-01,1415,720,60.0,23.6
INV-20250901-MED037-LOC006,MED037,LOC006,2025-09-01,2033,1272,106.0,19.2
INV-20250901-MED037-LOC007,MED037,LOC007,2025-09-01,708,60,5.0,141.6
INV-20250901-MED038-LOC001,MED038,LOC001,2025-09-01,166,120,12.0,13.8
INV-20250901-MED038-LOC002,MED038,LOC002,2025-09-01,84,30,3.0,28.0
INV-20250901-MED038-LOC003,MED038,LOC003,2025-09-01,114,100,10.0,11.4
INV-20250901-MED038-LOC004,MED038,LOC004,2025-09-01,54,5,0.1,540.0
INV-20250901-MED038-LOC005,MED038,LOC005,2025-09-01,77,20,2.0,38.5
INV-20250901-MED038-LOC006,MED038,LOC006,2025-09-01,133,60,6.0,22.2
INV-20250901-MED038-LOC007,MED038,LOC007,2025-09-01,40,5,0.1,400.0
INV-20250901-MED039-LOC001,MED039,LOC001,2025-09-01,108,96,6.0,18.0
INV-20250901-MED039-LOC002,MED039,LOC002,2025-09-01,47,48,3.0,15.7
INV-20250901-MED039-LOC003,MED039,LOC003,2025-09-01,94,96,6.0,15.7
INV-20250901-MED039-LOC004,MED039,LOC004,2025-09-01,39,16,1.0,39.0
INV-20250901-MED039-LOC005,MED039,LOC005,2025-09-01,37,48,3.0,12.3
INV-20250901-MED039-LOC006,MED039,LOC006,2025-09-01,60,96,6.0,10.0
INV-20250901-MED039-LOC007,MED039,LOC007,2025-09-01,280,5,0.1,2800.0
INV-20250901-MED040-LOC001,MED040,LOC001,2025-09-01,258,182,14.0,18.4
INV-20250901-MED040-LOC002,MED040,LOC002,2025-09-01,101,39,3.0,33.7
INV-20250901-MED040-LOC003,MED040,LOC003,2025-09-01,181,78,6.0,30.2
INV-20250901-MED040-LOC004,MED040,LOC004,2025-09-01,76,26,2.0,38.0
INV-20250901-MED040-LOC005,MED040,LOC005,2025-09-01,98,5,0.1,980.0
INV-20250901-MED040-LOC006,MED040,LOC006,2025-09-01,126,78,6.0,21.0
INV-20250901-MED040-LOC007,MED040,LOC007,2025-09-01,42,26,2.0,21.0
INV-20250901-MED041-LOC001,MED041,LOC001,2025-09-01,250,140,14.0,17.9
INV-20250901-MED041-LOC002,MED041,LOC002,2025-09-01,128,20,2.0,64.0
INV-20250901-MED041-LOC003,MED041,LOC003,2025-09-01,243,90,9.0,27.0
INV-20250901-MED041-LOC004,MED041,LOC004,2025-09-01,94,30,3.0,31.3
INV-20250901-MED041-LOC005,MED041,LOC005,2025-09-01,106,40,4.0,26.5
INV-20250901-MED041-LOC006,MED041,LOC006,2025-09-01,225,70,7.0,32.1
INV-20250901-MED041-LOC007,MED041,LOC007,2025-09-01,56,10,1.0,56.0
INV-20250901-MED042-LOC001,MED042,LOC001,2025-09-01,1019,500,50.0,20.4
INV-20250901-MED042-LOC002,MED042,LOC002,2025-09-01,464,220,22.0,21.1
INV-20250901-MED042-LOC003,MED042,LOC003,2025-09-01,806,360,36.0,22.4
INV-20250901-MED042-LOC004,MED042,LOC004,2025-09-01,397,80,8.0,49.6
INV-20250901-MED042-LOC005,MED042,LOC005,2025-09-01,350,170,17.0,20.6
INV-20250901-MED042-LOC006,MED042,LOC006,2025-09-01,814,230,23.0,35.4
INV-20250901-MED042-LOC007,MED042,LOC007,2025-09-01,224,10,1.0,224.0
INV-20250901-MED043-LOC001,MED043,LOC001,2025-09-01,337,190,19.0,17.7
INV-20250901-MED043-LOC002,MED043,LOC002,2025-09-01,155,70,7.0,22.1
INV-20250901-MED043-LOC003,MED043,LOC003,2025-09-01,309,150,15.0,20.6
INV-20250901-MED043-LOC004,MED043,LOC004,2025-09-01,115,20,2.0,57.5
INV-20250901-MED043-LOC005,MED043,LOC005,2025-09-01,117,50,5.0,23.4
INV-20250901-MED043-LOC006,MED043,LOC006,2025-09-01,184,140,14.0,13.1
INV-20250901-MED043-LOC007,MED043,LOC007,2025-09-01,73,20,2.0,36.5
INV-20250901-MED044-LOC001,MED044,LOC001,2025-09-01,885,507,39.0,22.7
INV-20250901-MED044-LOC002,MED044,LOC002,2025-09-01,296,156,12.0,24.7
INV-20250901-MED044-LOC003,MED044,LOC003,2025-09-01,727,377,29.0,25.1
INV-20250901-MED044-LOC004,MED044,LOC004,2025-09-01,272,143,11.0,24.7
INV-20250901-MED044-LOC005,MED044,LOC005,2025-09-01,264,117,9.0,29.3
INV-20250901-MED044-LOC006,MED044,LOC006,2025-09-01,494,403,31.0,15.9
INV-20250901-MED044-LOC007,MED044,LOC007,2025-09-01,187,26,2.0,93.5
INV-20250901-MED045-LOC001,MED045,LOC001,2025-09-01,1094,793,61.0,17.9
INV-20250901-MED045-LOC002,MED045,LOC002,2025-09-01,461,286,22.0,21.0
INV-20250901-MED045-LOC003,MED045,LOC003,2025-09-01,1006,676,52.0,19.3
INV-20250901-MED045-LOC004,MED045,LOC004,2025-09-01,437,52,4.0,109.2
INV-20250901-MED045-LOC005,MED045,LOC005,2025-09-01,388,286,22.0,17.6
